dup_factor,trial,time
0,0,0.05636777699999129
0,1,0.047151738000025034
0,2,0.04615000500007227
0,3,0.05295708200003446
0,4,0.05125085700001364
0,5,0.08513613200000236
0,6,0.04812487499998497
0,7,0.05433983000000353
0,8,0.04759054599992396
0,9,0.053773037999917506
1,0,0.12443538100001206
1,1,0.10171422400003394
1,2,0.09554462799997054
1,3,0.09640449100004389
1,4,0.10188009099999817
1,5,0.1006547590000082
1,6,0.09352711899998667
1,7,0.1280376710000155
1,8,0.09930193399998188
1,9,0.09416999699999451
2,0,0.17267144100003406
2,1,0.14980390499999885
2,2,0.16103511699998307
2,3,0.15510982299997522
2,4,0.1469851850000623
2,5,0.15202631500005737
2,6,0.14382613800000854
2,7,0.1611116320000292
2,8,0.1622133959999701
2,9,0.15794809900000928
5,0,0.343328960000008
5,1,0.3394870870000659
5,2,0.359542518000012
5,3,0.3230681889999687
5,4,0.3600785349999569
5,5,0.32280177799998455
5,6,0.31956895899998017
5,7,0.36309276100007537
5,8,0.3283575140000039
5,9,0.330809625000029
10,0,0.6451613080000698
10,1,0.640376147999973
10,2,0.6492176660000268
10,3,0.6470570909999651
10,4,0.6349297890000116
10,5,0.6563969320000069
10,6,0.6334454530000357
10,7,0.6554733519999445
10,8,0.6627666829999725
10,9,0.624517620000006
